periodo,valor
2000Q4,6.26
2001Q1,6.54
2001Q2,7.22
2001Q3,7.60
2001Q4,8.31
2002Q1,8.81
2002Q2,8.55
2002Q3,7.98
2002Q4,8.06
2003Q1,7.92
2003Q2,8.29
2003Q3,7.87
2003Q4,8.08
2004Q1,8.41
2004Q2,8.12
2004Q3,8.62
2004Q4,9.95
2005Q1,10.55
2005Q2,12.13
2005Q3,15.68
2005Q4,16.34
2006Q1,15.78
2006Q2,18.24
2006Q3,19.30
2006Q4,20.18
2007Q1,23.90
2007Q2,25.50
2007Q3,32.48
2007Q4,34.99
2008Q1,40.52
2008Q2,40.18
2008Q3,40.11
2008Q4,39.47
2009Q1,38.48
2009Q2,39.89
2009Q3,40.87
2009Q4,40.65
2010Q1,41.20
2010Q2,43.26
2010Q3,43.36
2010Q4,46.03
2011Q1,46.20
2011Q2,46.86
2011Q3,46.62
2011Q4,47.36
2012Q1,47.80
2012Q2,47.98
2012Q3,48.97
2012Q4,49.73
2013Q1,50.52
2013Q2,51.23
2013Q3,50.87
2013Q4,51.37
2014Q1,51.39
2014Q2,50.65
2014Q3,49.89
2014Q4,49.74
2015Q1,49.85
2015Q2,49.79
2015Q3,46.82
2015Q4,44.79
2016Q1,44.94
2016Q2,46.18
2016Q3,46.32
2016Q4,50.04
2017Q1,53.00
2017Q2,52.14
2017Q3,57.96
2017Q4,58.38
2018Q1,58.52
2018Q2,58.81
2018Q3,59.50
2018Q4,60.03
2019Q1,60.41
2019Q2,61.94
2019Q3,62.20
2019Q4,63.62
2020Q1,63.41
2020Q2,58.87
2020Q3,56.52
2020Q4,52.86
2021Q1,49.00
2021Q2,47.60
2021Q3,44.62
2021Q4,42.56
2022Q1,44.85
2022Q2,44.61
2022Q3,43.90
2022Q4,45.08
2023Q1,45.65
2023Q2,48.44
2023Q3,47.46
2023Q4,48.15
2024Q1,48.31
2024Q2,47.48
2024Q3,48.51
2024Q4,48.53
2025Q1,49.83
2025Q2,50.39
2025Q3,52.12
