periodo,departamento,valor
2007,Amazonas,1778775
2008,Amazonas,1930947
2009,Amazonas,2058318
2010,Amazonas,2210682
2011,Amazonas,2287107
2012,Amazonas,2551601
2013,Amazonas,2682266
2014,Amazonas,2824603
2015,Amazonas,2782128
2016,Amazonas,2784366
2017,Amazonas,2940822
2018,Amazonas,3118373
2019,Amazonas,3168990
2020,Amazonas,3030350
2021,Amazonas,3122772
2022,Amazonas,3064074
2023,Amazonas,3124439
2024,Amazonas,3103841
2025,Amazonas,3239574
2007,Áncash,15672771
2008,Áncash,16854588
2009,Áncash,16400826
2010,Áncash,16013215
2011,Áncash,16155687
2012,Áncash,17666947
2013,Áncash,18478843
2014,Áncash,16028265
2015,Áncash,17584621
2016,Áncash,18365696
2017,Áncash,19317454
2018,Áncash,20712339
2019,Áncash,20059093
2020,Áncash,18758235
2021,Áncash,21466272
2022,Áncash,21721407
2023,Áncash,20931135
2024,Áncash,21386810
2025,Áncash,21576132
2007,Apurímac,1824181
2008,Apurímac,1688564
2009,Apurímac,1623801
2010,Apurímac,1765744
2011,Apurímac,1869417
2012,Apurímac,2110908
2013,Apurímac,2342674
2014,Apurímac,2437434
2015,Apurímac,2630345
2016,Apurímac,6343065
2017,Apurímac,7718535
2018,Apurímac,7131314
2019,Apurímac,7170478
2020,Apurímac,6448415
2021,Apurímac,6586239
2022,Apurímac,6290806
2023,Apurímac,6689337
2007,Arequipa,16991831
2008,Arequipa,18885807
2009,Arequipa,19032479
2010,Arequipa,20158733
2011,Arequipa,21038813
2012,Arequipa,22033542
2013,Arequipa,22629103
2014,Arequipa,22773308
2015,Arequipa,23524592
2016,Arequipa,29623112
2017,Arequipa,30724797
2018,Arequipa,31506818
2019,Arequipa,31404343
2020,Arequipa,26489345
2021,Arequipa,29970944
2022,Arequipa,31539363
2023,Arequipa,31374274
2024,Arequipa,31636176
2025,Arequipa,32254991
2007,Ayacucho,2975676
2008,Ayacucho,3401175
2009,Ayacucho,3750401
2010,Ayacucho,3922514
2011,Ayacucho,4111349
2012,Ayacucho,4482971
2013,Ayacucho,4906299
2014,Ayacucho,4879476
2015,Ayacucho,5162331
2016,Ayacucho,5177917
2017,Ayacucho,5451854
2018,Ayacucho,5760202
2019,Ayacucho,5931518
2020,Ayacucho,5193538
2021,Ayacucho,5796822
2022,Ayacucho,5996577
2023,Ayacucho,5913691
2024,Ayacucho,6212319
2025,Ayacucho,6457961
2007,Cajamarca,8159499
2008,Cajamarca,9319769
2009,Cajamarca,10050467
2010,Cajamarca,10140905
2011,Cajamarca,10595497
2012,Cajamarca,11270583
2013,Cajamarca,11086928
2014,Cajamarca,10855588
2015,Cajamarca,10798612
2016,Cajamarca,10581305
2017,Cajamarca,10901682
2018,Cajamarca,11209419
2019,Cajamarca,11479756
2020,Cajamarca,10310549
2021,Cajamarca,11488958
2022,Cajamarca,11904977
2023,Cajamarca,11885309
2024,Cajamarca,12001887
2025,Cajamarca,12860793
2007,Cusco,10913725
2008,Cusco,11663686
2009,Cusco,13631820
2010,Cusco,15405459
2011,Cusco,17384466
2012,Cusco,17711332
2013,Cusco,20708699
2014,Cusco,20723581
2015,Cusco,21071852
2016,Cusco,21898270
2017,Cusco,21576717
2018,Cusco,21700735
2019,Cusco,22006880
2020,Cusco,19284962
2021,Cusco,20592202
2022,Cusco,21489757
2023,Cusco,22507388
2024,Cusco,22767865
2025,Cusco,22195001
2007,Huancavelica,2475279
2008,Huancavelica,2613850
2009,Huancavelica,2696095
2010,Huancavelica,2817536
2011,Huancavelica,2909215
2012,Huancavelica,3143661
2013,Huancavelica,3174927
2014,Huancavelica,3281748
2015,Huancavelica,3265820
2016,Huancavelica,3212948
2017,Huancavelica,3354985
2018,Huancavelica,3525421
2019,Huancavelica,3527812
2020,Huancavelica,3279521
2021,Huancavelica,3493040
2022,Huancavelica,3433141
2023,Huancavelica,3513289
2024,Huancavelica,3912627
2025,Huancavelica,4054329
2007,Huánuco,3200861
2008,Huánuco,3464132
2009,Huánuco,3499798
2010,Huánuco,3739082
2011,Huánuco,3955589
2012,Huánuco,4380310
2013,Huánuco,4642728
2014,Huánuco,4799787
2015,Huánuco,5114983
2016,Huánuco,5345445
2017,Huánuco,5832171
2018,Huánuco,6010056
2019,Huánuco,6081484
2020,Huánuco,5437276
2021,Huánuco,5972022
2022,Huánuco,6225057
2023,Huánuco,6600610
2024,Huánuco,6924290
2025,Huánuco,7266555
2007,Ica,8793956
2008,Ica,10415637
2009,Ica,10841974
2010,Ica,11607992
2011,Ica,12883432
2012,Ica,13067505
2013,Ica,14394675
2014,Ica,14809397
2015,Ica,15295581
2016,Ica,15325191
2017,Ica,16206741
2018,Ica,16994391
2019,Ica,17656354
2020,Ica,15612472
2021,Ica,19614370
2022,Ica,20877156
2023,Ica,20766164
2007,Junín,9240435
2008,Junín,10023855
2009,Junín,9039077
2010,Junín,9518659
2011,Junín,10009485
2012,Junín,10718558
2013,Junín,11095514
2014,Junín,12391582
2015,Junín,14412891
2016,Junín,14285221
2017,Junín,14954057
2018,Junín,15459518
2019,Junín,15330366
2020,Junín,13863906
2021,Junín,15946514
2022,Junín,16330313
2023,Junín,15730063
2024,Junín,15992658
2025,Junín,17081934
2007,La Libertad,14615612
2008,La Libertad,15653801
2009,La Libertad,15716171
2010,La Libertad,16624855
2011,La Libertad,17378414
2012,La Libertad,18712792
2013,La Libertad,19532083
2014,La Libertad,19821258
2015,La Libertad,20274733
2016,La Libertad,20448345
2017,La Libertad,20797558
2018,La Libertad,21840178
2019,La Libertad,22637274
2020,La Libertad,21224496
2021,La Libertad,23544421
2022,La Libertad,23904991
2023,La Libertad,23596604
2024,La Libertad,24932743
2025,La Libertad,25530452
2007,Lambayeque,6880023
2008,Lambayeque,7512522
2009,Lambayeque,7910362
2010,Lambayeque,8449884
2011,Lambayeque,8937792
2012,Lambayeque,9782672
2013,Lambayeque,10138533
2014,Lambayeque,10354938
2015,Lambayeque,10809529
2016,Lambayeque,11080412
2017,Lambayeque,11371483
2018,Lambayeque,11837862
2019,Lambayeque,12113549
2020,Lambayeque,11345968
2021,Lambayeque,13087584
2022,Lambayeque,13374470
2023,Lambayeque,12881344
2024,Lambayeque,13494761
2025,Lambayeque,14344165
2007,Lima,136238703
2008,Lima,148415981
2009,Lima,148910138
2010,Lima,164623842
2011,Lima,178742876
2012,Lima,189597321
2013,Lima,200400691
2014,Lima,208022491
2015,Lima,214469326
2016,Lima,220241329
2017,Lima,224691974
2018,Lima,234445543
2019,Lima,240498497
2020,Lima,211735530
2021,Lima,242029742
2022,Lima,249048794
2023,Lima,246543182
2024,Lima,255670998
2025,Lima,263549587
2007,Loreto,6910964
2008,Loreto,7324982
2009,Loreto,7374935
2010,Loreto,7906943
2011,Loreto,7608889
2012,Loreto,8212422
2013,Loreto,8505693
2014,Loreto,8779305
2015,Loreto,8584514
2016,Loreto,7602217
2017,Loreto,8087444
2018,Loreto,8932782
2019,Loreto,9336037
2020,Loreto,8031794
2021,Loreto,8905322
2022,Loreto,9379151
2023,Loreto,9610208
2024,Loreto,10248568
2025,Loreto,10755581
2007,Madre de Dios,1864543
2008,Madre de Dios,1902177
2009,Madre de Dios,2033411
2010,Madre de Dios,2229180
2011,Madre de Dios,2454999
2012,Madre de Dios,1950139
2013,Madre de Dios,2240082
2014,Madre de Dios,1923155
2015,Madre de Dios,2346810
2016,Madre de Dios,2663699
2017,Madre de Dios,2409050
2018,Madre de Dios,2255653
2019,Madre de Dios,2124983
2020,Madre de Dios,1607653
2021,Madre de Dios,1754255
2022,Madre de Dios,1787715
2023,Madre de Dios,1813598
2024,Madre de Dios,1921466
2025,Madre de Dios,2003197
2007,Moquegua,7525100
2008,Moquegua,8663619
2009,Moquegua,8436303
2010,Moquegua,8457008
2011,Moquegua,7785269
2012,Moquegua,7756800
2013,Moquegua,8598669
2014,Moquegua,8371348
2015,Moquegua,8693747
2016,Moquegua,8635514
2017,Moquegua,8696704
2018,Moquegua,8785457
2019,Moquegua,8416846
2020,Moquegua,8584100
2021,Moquegua,9319452
2022,Moquegua,10477957
2023,Moquegua,13063496
2024,Moquegua,13674001
2025,Moquegua,13230735
2007,Pasco,5486459
2008,Pasco,5416732
2009,Pasco,5040946
2010,Pasco,4702403
2011,Pasco,4641887
2012,Pasco,4880072
2013,Pasco,4885819
2014,Pasco,5046668
2015,Pasco,5211406
2016,Pasco,5329324
2017,Pasco,5333755
2018,Pasco,5337612
2019,Pasco,5443881
2020,Pasco,4429724
2021,Pasco,5272562
2022,Pasco,5375702
2023,Pasco,5442777
2024,Pasco,5265658
2025,Pasco,5384431
2007,Piura,12651720
2008,Piura,13580502
2009,Piura,13998851
2010,Piura,15106528
2011,Piura,16366999
2012,Piura,17066135
2013,Piura,17746782
2014,Piura,18750443
2015,Piura,18866671
2016,Piura,18924869
2017,Piura,18473111
2018,Piura,19758433
2019,Piura,20626256
2020,Piura,18879119
2021,Piura,21156596
2022,Piura,21064071
2023,Piura,21282469
2024,Piura,21473593
2025,Piura,22403303
2007,Puno,5888474
2008,Puno,6328455
2009,Puno,6587873
2010,Puno,6980479
2011,Puno,7384505
2012,Puno,7734458
2013,Puno,8294320
2014,Puno,8487313
2015,Puno,8519702
2016,Puno,9075999
2017,Puno,9434737
2018,Puno,9666999
2019,Puno,9803780
2020,Puno,8707290
2021,Puno,9703870
2022,Puno,10046277
2023,Puno,9342368
2024,Puno,10579219
2025,Puno,10823299
2007,San Martin,3266254
2008,San Martin,3598432
2009,San Martin,3740600
2010,San Martin,4034361
2011,San Martin,4245537
2012,San Martin,4752177
2013,San Martin,4828116
2014,San Martin,5173301
2015,San Martin,5466266
2016,San Martin,5588107
2017,San Martin,5944145
2018,San Martin,6063316
2019,San Martin,6081464
2020,San Martin,5850487
2021,San Martin,6282945
2022,San Martin,6314089
2023,San Martin,6436178
2024,San Martin,6574271
2025,San Martin,6772944
2007,Tacna,5143137
2008,Tacna,5016741
2009,Tacna,4823192
2010,Tacna,5338879
2011,Tacna,5466509
2012,Tacna,5526840
2013,Tacna,5781849
2014,Tacna,6094038
2015,Tacna,6598403
2016,Tacna,6506248
2017,Tacna,6584715
2018,Tacna,7110940
2019,Tacna,8737472
2020,Tacna,8499315
2021,Tacna,8875091
2022,Tacna,8387108
2023,Tacna,8459587
2024,Tacna,8920642
2025,Tacna,9863816
2007,Tumbes,1637185
2008,Tumbes,1902059
2009,Tumbes,2082047
